Date,actual,predicted,lower_ci,upper_ci
2024-01-01,102.0,115.6462283736268,-108.52983753529432,339.8222942825479
2024-01-02,181.0,167.26393027433303,-120.93924835718244,455.4671089058485
2024-01-03,255.0,192.45439199756666,-123.38149951840612,508.2902835135394
2024-01-04,227.0,252.0695462088655,-80.87170441336903,585.0107968311
2024-01-05,276.0,118.90947000189215,-226.96914664930904,464.78808665309333
2024-01-06,244.0,34.154441879242114,-322.59966328553196,390.90854704401625
2024-01-07,169.0,116.40687289223737,-249.9807560351757,482.79450181965046
2024-01-08,238.0,201.21700580310326,-181.3008512441256,583.7348628503321
2024-01-09,244.0,205.77269233575856,-190.07488962098483,601.620274292502
2024-01-10,255.0,210.40887003958025,-196.19131836409136,617.0090584432519
2024-01-11,258.0,260.1922458762633,-155.7644724009304,676.148964153457
2024-01-12,261.0,125.38845737195959,-299.01543896884806,549.7923537127672
2024-01-13,179.0,40.29806114667045,-391.8684026060423,472.46452489938326
2024-01-14,146.0,120.30098670479788,-319.06169153514054,559.6636649447363
2024-01-15,259.0,203.2223838260643,-248.71781057608916,655.1625782282177
2024-01-16,309.0,207.43206546976734,-255.07298265209238,669.937113591627
2024-01-17,361.0,211.79979834073364,-259.31121199855363,682.910808680021
2024-01-18,329.0,260.58281813254564,-218.07408579719356,739.2397220622848
2024-01-19,412.0,127.93647526842165,-357.5765094865914,613.4494600234348
2024-01-20,262.0,44.16719808903673,-447.6810928720639,536.0154890501374
2024-01-21,234.0,122.68845987850924,-375.0616017584315,620.4385215154499
2024-01-22,309.0,204.08279194935315,-304.1502474983864,712.3158313970927
2024-01-23,331.0,208.10799255038063,-308.9771943408537,725.193179441615
2024-01-24,335.0,212.2917043977505,-312.02786442004304,736.6112732155441
2024-01-25,343.0,260.1380432722124,-270.54535909585667,790.8214456402816
2024-01-26,369.0,129.6443820252496,-406.8393251691706,666.1280892196697
2024-01-27,299.0,47.198997527856136,-494.6603832070696,589.0583782627818
2024-01-28,223.0,124.28585163732936,-422.59516368389376,671.1668669585524
2024-01-29,358.0,204.19946989213193,-351.712225075585,760.1111648598488
2024-01-30,322.0,208.06269092087774,-355.49676404984046,771.6221458915959
2024-01-31,298.0,212.08416330587414,-357.7350799806965,781.9034065924448
2024-02-01,368.0,259.0278313346058,-316.30792865321985,834.3635913224315
2024-02-02,371.0,130.66779441568931,-449.70558027158165,711.0411691029602
2024-02-03,281.0,49.540870362939586,-535.5100743319064,634.5918150577855
2024-02-04,285.0,125.23435711304325,-464.1938703759568,714.6625846020434
2024-02-05,348.0,203.70865296714308,-393.670540476538,801.0878464108241
2024-02-06,412.0,207.4284275602592,-396.69568273295664,811.5525378534751
2024-02-07,352.0,211.30578636144742,-398.3432079961219,820.9547807190168
2024-02-08,425.0,257.3771052948889,-357.1460894535786,871.9003000433564
2024-02-09,389.0,131.12896988137908,-487.85084517697516,750.1087849397334
2024-02-10,258.0,51.312271510230175,-571.8109110879478,674.4354541084082
2024-02-11,236.0,125.64992084964808,-501.35541282558734,752.6552545248835
2024-02-12,311.0,202.72284582643763,-431.3926114420668,836.838303094942
2024-02-13,358.0,206.3147287612972,-433.83885827505077,846.4683157976451
2024-02-14,348.0,210.0631984110198,-435.03795277967197,855.1643496017116
2024-02-15,415.0,255.28944889489645,-394.17960738471817,904.7585051745111
2024-02-16,444.0,131.12940236827,-522.3368113327664,784.5956160693064
2024-02-17,304.0,52.612439782858644,-604.5733648747555,709.7982444404727
2024-02-18,161.0,125.62881038999693,-535.0452143179975,786.3028350979914
2024-02-19,335.0,201.33539836031548,-465.7716362748554,868.4424329954863
2024-02-20,354.0,204.81246698386548,-467.7615750223785,877.3865089901094
2024-02-21,315.0,208.44485775989563,-468.60928564640494,885.4990011661962
2024-02-22,292.0,252.850757333441,-428.16041841185074,933.8619330787328
2024-02-23,361.0,130.75334787491244,-553.8812599527314,815.3879557025564
2024-02-24,291.0,53.523818592307094,-634.4849060752339,741.532543259848
2024-02-25,226.0,125.25094205223557,-565.9241710875538,816.4260551920249
2024-02-26,283.0,199.6237422340604,-497.42502910604094,896.6725135741617
2024-02-27,326.0,202.99701198086285,-499.04587585243684,905.0398998141625
2024-02-28,338.0,206.52412471814728,-499.6113521970335,912.6596016333281
2024-02-29,309.0,250.13222558453026,-459.61916598616733,959.8836171552279
