Date,1-58,1-85,1-322,1-468,1-477,2-10,2-32,2-42,3-026,3-34,3-175,3-240,3-324,3-332,3-338,4-1,4-10,4-43,5-1,5-19,5-65,5-232,5-257,6-30,6-74,7-35,7-253,8-34,8-106,8-243,8-260,8-268,9-18,9-60,10-60
2023-01-28 00:00:00,178,271.0,57,191.0,91,79,907.0,2585,249.0,86.0,131,345.0,440,781.0,3411,386,476.0,57,251.0,325,30.0,61,453,77,63,92.0,32,32,120.0,81,352,688.0,29,22,30
2023-01-29 00:00:00,214,230.0,58,245.0,77,142,723.0,2654,248.0,66.0,139,369.0,368,681.0,2680,366,435.0,58,189.0,227,25.0,46,505,56,39,55.0,26,23,133.0,74,358,694.0,37,24,13
2023-01-30 00:00:00,182,242.0,93,271.0,117,132,1012.0,1917,309.0,94.0,165,428.0,454,764.0,3840,291,369.0,18,289.0,192,33.0,46,454,32,30,79.0,17,34,114.0,66,430,779.0,17,8,7
2023-01-31 00:00:00,185,249.0,63,239.0,77,137,1085.0,1591,302.0,112.0,153,403.0,442,706.0,4148,279,346.0,21,313.0,324,34.0,55,383,57,46,98.0,31,17,102.0,78,380,716.0,37,20,7
2023-02-01 00:00:00,180,266.0,57,248.0,78,127,1012.0,2542,283.0,117.0,157,487.0,497,815.0,4198,274,322.0,27,306.0,336,23.0,49,431,63,45,87.0,22,29,83.0,72,434,828.0,22,14,34
2023-02-02 00:00:00,200,243.0,66,238.0,83,154,1120.0,2387,290.0,118.0,153,425.0,500,824.0,4282,300,350.0,17,288.0,349,35.0,48,288,46,33,75.0,23,14,100.0,55,428,799.0,35,17,22
2023-02-03 00:00:00,195,283.0,78,274.0,84,110,1164.0,2801,301.0,118.0,182,526.0,606,1010.0,4319,353,416.0,24,313.0,316,31.0,49,301,49,36,113.0,42,23,83.0,88,412,780.0,32,19,26
2023-02-04 00:00:00,188,316.0,91,193.0,111,132,1021.0,2537,340.0,177.0,274,503.0,537,915.0,3317,391,429.0,59,239.0,375,43.0,55,460,57,41,82.0,38,43,110.0,80,376,673.0,46,23,38
2023-02-05 00:00:00,197,208.0,64,182.0,104,142,747.0,2810,344.0,175.0,269,467.0,469,783.0,2750,345,452.0,77,162.0,261,35.0,52,323,53,36,77.0,13,27,76.0,49,330,598.0,41,31,11
2023-02-06 00:00:00,155,257.0,92,257.0,102,128,1113.0,1783,365.0,214.0,251,568.0,602,863.0,3989,455,528.0,222,302.0,173,42.0,68,347,46,22,65.0,30,8,81.0,47,402,779.0,50,46,10
2023-02-07 00:00:00,167,258.0,126,242.0,97,150,1192.0,1576,328.0,194.0,209,549.0,534,838.0,3913,426,488.0,209,366.0,276,31.0,75,485,59,39,86.0,43,42,133.0,77,404,755.0,38,33,7
2023-02-08 00:00:00,197,259.0,77,231.0,81,186,1194.0,2466,338.0,123.0,194,532.0,589,934.0,4043,554,640.0,337,406.0,332,36.0,83,403,55,40,93.0,15,30,137.0,72,424,760.0,41,17,27
2023-02-09 00:00:00,213,246.0,63,246.0,103,155,1289.0,2686,352.0,184.0,246,590.0,643,983.0,4066,631,725.0,331,417.0,367,48.0,62,381,70,42,92.0,44,30,127.0,100,455,907.0,35,23,20
2023-02-10 00:00:00,198,240.0,84,245.0,85,118,1172.0,2818,347.0,153.0,214,576.0,637,1022.0,4269,649,795.0,379,328.0,365,59.0,93,305,58,49,109.0,25,29,109.0,98,451,870.0,37,22,23
2023-02-11 00:00:00,216,224.0,97,214.0,136,143,914.0,2634,308.0,119.0,215,507.0,601,990.0,3399,715,897.0,424,225.0,446,27.0,43,325,79,63,71.0,22,33,114.0,86,353,664.0,27,15,25
2023-02-12 00:00:00,173,190.0,69,245.0,84,149,850.0,2715,322.0,130.0,225,461.0,541,884.0,2875,663,860.0,440,209.0,346,30.0,43,393,58,43,61.0,27,38,122.0,77,354,668.0,37,29,41
2023-02-13 00:00:00,145,220.0,81,233.0,74,160,1108.0,2164,304.0,148.0,202,536.0,534,831.0,4078,538,676.0,349,300.0,212,42.0,66,422,57,46,55.0,30,36,91.0,73,440,817.0,52,29,22
2023-02-14 00:00:00,140,254.0,84,261.0,94,155,1119.0,1797,326.0,142.0,217,504.0,544,862.0,4219,584,704.0,398,295.0,368,34.0,44,351,52,46,83.0,31,35,117.0,78,425,818.0,51,29,38
2023-02-15 00:00:00,198,249.0,73,252.0,76,172,1105.0,2721,353.0,175.0,234,572.0,606,921.0,4034,551,663.0,356,273.0,317,27.0,51,439,61,41,78.0,52,7,76.0,66,433,800.0,55,29,39
2023-02-16 00:00:00,213,246.0,86,253.0,94,193,1113.0,2778,353.0,187.0,252,571.0,617,931.0,4043,613,767.0,399,286.0,264,42.0,67,425,77,34,96.0,26,27,93.0,78,474,872.0,32,24,34
