Date,1-58,1-85,1-322,1-468,1-477,2-10,2-32,2-42,3-026,3-175,3-240,3-324,3-338,4-1,4-10,4-43,5-1,5-19,5-65,5-232,5-257,6-30,6-74,7-35,7-253,8-34,8-106,8-243,8-260,8-268,10-60
2019-01-01 00:00:00,213.97783853296917,252.40651157562488,24,no data,18,368.5659096363795,975.564267923782,1221.8571269698932,127.0,120,734,465.5,2238,641,763,107,358.9587413757156,54,27,139,no data,13,20,30,13.0,24,86,49,241,395,14.0
2019-01-02 00:00:00,204.37067027230523,234.9389329198723,29,no data,36,342.3645416527507,908.3140900991345,1129.2789600944047,280.0,166,646,179,4200,505,650,75,337.9976469888125,122,30,130,no data,30,34,53,14.0,29,81,76,419,844,40.0
2019-01-03 00:00:00,231.44541718872176,267.25395343301454,41,no data,43,391.2737618888579,1034.080656420553,1288.2339258617528,293.0,183,670,493,4252,540,645,40,386.9068672249198,142,44,122,no data,36,43,60,20.0,8,75,76,376,861,35.0
2019-01-04 00:00:00,234.06555398708466,270.74746916416507,52,no data,52,398.26079335115895,1049.8014772107301,1303.9547466519302,323.0,188,683,695.5,4485,583,663,57,391.2737618888579,171,55,142,no data,36,39,57,11.0,36,67,94,515,967,37.0
2019-01-05 00:00:00,254.1532694412001,296.94883714779394,50,no data,40,431.44919279708876,1136.265991556706,1420.9875236454727,295.0,182,768,589,3452,609,719,98,423.58878240200016,97,39,144,no data,21,31,69,10.0,31,78,74,294,792,43.0
2019-01-06 00:00:00,234.06555398708466,270.74746916416507,56,no data,49,398.26079335115895,1049.8014772107301,1303.9547466519302,267.0,178,723,499,2824,527,573,83,391.2737618888579,92,59,156,no data,16,28,36,14.0,38,89,110,333,545,33.0
2019-01-07 00:00:00,227.0785225247836,264.6338166346517,49,no data,39,386.9068672249198,1023.6001092271014,1269.892968273213,251.0,148,615,447.5,4243,395,469,24,381.66659362819394,150,53,144,no data,22,30,49,23.0,30,55,60,397,871,31.0
2019-01-08 00:00:00,213.97783853296917,252.40651157562488,38,no data,56,368.5659096363795,964.2103417975427,1201.7694115157776,245.0,145,830,332.5,4307,441,515,25,358.9587413757156,156,40,139,no data,24,27,72,13.0,17,52,53,363,896,42.0
2019-01-09 00:00:00,204.37067027230523,234.9389329198723,40,no data,36,342.3645416527507,910.9342268974974,1132.7724758255554,256.0,160,691,428,4293,426,524,33,337.9976469888125,139,37,130,no data,20,37,52,8.0,20,56,62,367,878,39.0
2019-01-10 00:00:00,231.44541718872176,267.25395343301454,48,no data,52,391.2737618888579,1034.080656420553,1288.2339258617528,286.0,187,701,391.5,4321,415,538,23,386.9068672249198,151,44,122,no data,23,29,46,26.0,5,47,69,439,931,26.0
