Date,1-58,1-85,1-322,1-468,1-477,2-10,2-32,2-42,3-026,3-175,3-240,3-324,3-338,4-1,4-10,4-43,5-1,5-19,5-65,5-232,5-257,6-30,6-74,7-35,7-253,8-34,8-106,8-243,8-260,8-268,10-60
2020-01-01 00:00:00,213.97783853296917,252.40651157562488,28,88.0,27.0,no data,318.0,798.0,135.0,80.0,503.0,376.0,2111.0,592.0,718.0,103.0,147,44.0,26.0,30.0,163.0,no data,29.0,30.0,8.0,5,58.0,45.0,192.0,298,9.0
2020-01-02 00:00:00,204.37067027230523,234.9389329198723,28,165.0,50.0,no data,518.0,1160.0,259.0,138.0,527.0,448.0,4009.0,550.0,665.0,78.0,226,100.0,51.0,38.0,249.0,no data,47.0,53.0,15.0,27,82.0,86.0,359.0,650,32.0
2020-01-03 00:00:00,231.44541718872176,267.25395343301454,37,160.0,66.0,no data,532.0,1148.0,337.0,167.0,546.0,458.0,4045.0,588.0,695.0,41.0,239,100.0,39.0,52.0,259.0,no data,72.0,60.0,15.0,39,95.0,111.0,347.0,686,32.0
2020-01-04 00:00:00,234.06555398708466,270.74746916416507,41,126.0,31.0,no data,478.0,780.0,327.0,158.0,473.0,482.0,3345.0,553.0,626.0,64.0,253,118.0,63.0,55.0,232.0,no data,62.0,57.0,10.0,34,62.0,84.0,271.0,550,41.0
2020-01-05 00:00:00,254.1532694412001,296.94883714779394,57,153.0,51.0,no data,384.0,647.0,311.0,163.0,463.0,504.0,2774.0,542.0,586.0,83.0,169,88.0,66.0,59.0,210.0,no data,55.0,69.0,24.0,32,49.0,56.0,220.0,387,31.0
2020-01-06 00:00:00,234.06555398708466,270.74746916416507,39,236.0,52.0,no data,511.0,1320.0,297.0,136.0,552.0,503.0,4078.0,449.0,534.0,43.0,233,84.0,37.0,36.0,200.0,no data,45.0,36.0,26.0,38,54.0,61.0,323.0,610,32.0
2020-01-07 00:00:00,227.0785225247836,264.6338166346517,33,207.0,45.0,no data,572.0,1375.0,258.0,109.0,589.0,479.0,4044.0,422.0,479.0,31.0,305,110.0,50.0,46.0,256.0,no data,47.0,49.0,11.0,21,46.0,47.0,339.0,698,30.0
2020-01-08 00:00:00,213.97783853296917,252.40651157562488,38,206.0,38.0,no data,563.0,1442.0,229.0,135.0,606.0,444.0,3909.0,371.0,485.0,29.0,308,110.0,49.0,47.0,247.0,no data,53.0,72.0,23.0,22,47.0,62.0,292.0,657,34.0
2020-01-09 00:00:00,204.37067027230523,234.9389329198723,44,220.0,52.0,no data,569.0,1364.0,240.0,139.0,618.0,398.0,3917.0,407.0,492.0,32.0,271,77.0,38.0,38.0,196.0,no data,34.0,52.0,23.0,18,47.0,51.0,279.0,588,34.0
2020-01-10 00:00:00,231.44541718872176,267.25395343301454,29,247.0,49.0,no data,640.0,1389.0,278.0,161.0,704.0,308.0,4429.0,424.0,514.0,42.0,343,122.0,49.0,55.0,269.0,no data,61.0,46.0,20.0,17,63.0,66.0,320.0,710,32.0
2020-01-11 00:00:00,234.06555398708466,270.74746916416507,30,126.0,42.0,no data,434.0,899.0,274.0,119.0,385.0,237.0,3166.0,372.0,405.0,51.0,192,88.0,37.0,23.0,166.0,no data,49.0,68.0,11.0,21,61.0,101.0,220.0,429,34.0
2020-01-12 00:00:00,254.1532694412001,296.94883714779394,33,153.0,46.0,no data,342.0,722.0,232.0,118.0,424.0,274.0,2452.0,276.0,304.0,31.0,144,69.0,38.0,46.0,157.0,no data,20.0,65.0,10.0,27,60.0,57.0,199.0,393,21.0
2020-01-13 00:00:00,234.06555398708466,270.74746916416507,35,236.0,63.0,no data,515.0,1406.0,220.0,119.0,597.0,379.0,3932.0,301.0,345.0,24.0,240,89.0,37.0,42.0,179.0,no data,39.0,37.0,20.0,26,56.0,69.0,314.0,673,28.0
2020-01-14 00:00:00,227.0785225247836,264.6338166346517,25,207.0,49.0,no data,581.0,1351.0,242.0,155.0,653.0,412.0,4022.0,276.0,332.0,21.0,297,97.0,43.0,51.0,217.0,no data,44.0,65.0,14.0,38,64.0,75.0,287.0,620,30.0
2020-01-15 00:00:00,213.97783853296917,252.40651157562488,28,206.0,35.0,no data,572.0,1379.0,227.0,151.0,736.0,420.0,4037.0,310.0,354.0,33.0,291,114.0,50.0,44.0,220.0,no data,58.0,39.0,13.0,19,51.0,60.0,305.0,634,14.0
2020-01-16 00:00:00,204.37067027230523,234.9389329198723,37,220.0,52.0,no data,571.0,1331.0,253.0,138.0,706.0,352.0,4000.0,334.0,371.0,27.0,249,95.0,41.0,42.0,215.0,no data,42.0,47.0,18.0,20,53.0,69.0,343.0,685,24.0
2020-01-17 00:00:00,231.44541718872176,267.25395343301454,50,532.0,76.0,no data,614.0,1388.0,271.0,156.0,708.0,385.0,4315.0,391.0,414.0,39.0,291,125.0,54.0,59.0,279.0,no data,62.0,40.0,21.0,17,68.0,77.0,327.0,723,35.0
2020-01-18 00:00:00,234.06555398708466,270.74746916416507,30,157.0,39.0,no data,418.0,1019.0,267.0,121.0,511.0,425.0,3326.0,421.0,448.0,61.0,207,98.0,35.0,33.0,227.0,no data,63.0,61.0,22.0,22,45.0,67.0,261.0,516,35.0
2020-01-19 00:00:00,254.1532694412001,296.94883714779394,33,160.0,29.0,no data,442.0,775.0,226.0,138.0,529.0,409.0,2726.0,430.0,459.0,67.0,206,87.0,54.0,56.0,232.0,no data,49.0,52.0,15.0,23,70.0,61.0,221.0,389,27.0
2020-01-20 00:00:00,234.06555398708466,270.74746916416507,38,201.0,47.0,no data,586.0,1382.0,270.0,161.0,667.0,410.0,4115.0,383.0,401.0,49.0,292,122.0,53.0,47.0,232.0,no data,83.0,38.0,16.0,23,48.0,57.0,297.0,690,32.0
2020-01-21 00:00:00,227.0785225247836,264.6338166346517,56,249.0,40.0,no data,601.0,1484.0,289.0,154.0,745.0,380.0,4186.0,377.0,382.0,57.0,215,100.0,37.0,38.0,217.0,no data,52.0,46.0,18.0,24,62.0,58.0,273.0,633,35.0
2020-01-22 00:00:00,213.97783853296917,252.40651157562488,33,205.0,54.0,no data,581.0,1464.0,335.0,196.0,778.0,415.0,4125.0,386.0,437.0,42.0,299,120.0,50.0,53.0,270.0,no data,62.0,43.0,12.0,11,65.0,65.0,305.0,682,24.0
2020-01-23 00:00:00,204.37067027230523,234.9389329198723,46,238.0,47.0,no data,585.0,1394.0,323.0,195.0,751.0,397.0,4084.0,405.0,440.0,49.0,273,129.0,66.0,69.0,264.0,no data,59.0,47.0,14.0,28,62.0,69.0,335.0,713,39.0
2020-01-24 00:00:00,231.44541718872176,267.25395343301454,61,164.0,44.0,no data,677.0,1406.0,337.0,197.0,700.0,223.0,4460.0,503.0,541.0,66.0,329,161.0,67.0,55.0,253.0,no data,87.0,51.0,22.0,0,70.0,77.0,313.0,718,35.0
2020-01-25 00:00:00,234.06555398708466,270.74746916416507,38,123.0,44.0,no data,480.0,1014.0,242.0,112.0,370.0,202.0,3267.0,588.0,585.0,93.0,221,121.0,45.0,60.0,233.0,no data,72.0,86.0,15.0,25,66.0,68.0,231.0,396,35.0
