Date,1-58,1-85,1-322,1-468,1-477,2-10,2-32,2-42,3-026,3-34,3-175,3-240,3-324,3-332,3-338,4-1,4-10,4-43,5-1,5-19,5-65,5-232,5-257,6-30,6-74,7-35,7-253,8-34,8-106,8-243,8-260,8-268,9-18,9-60,10-60,gnt-2
2022-01-12 00:00:00,172.0,195.0,47.0,235.0,44.0,215.0,1002.0,2536.0,216.0,165.0,141.0,390.0,517.0,757.0,4792.0,282.0,413.0,32.0,247.0,104.0,30.0,46.0,180.0,67.0,46.0,90.0,22.0,32,128.0,75.0,280.0,542.0,19.0,13.0,11.0,168
2022-01-13 00:00:00,131.0,148.0,47.0,220.0,46.0,198.0,991.0,2445.0,232.0,152.0,139.0,380.0,561.0,805.0,4103.0,354.0,476.0,58.0,235.0,83.0,25.0,44.0,205.0,48.0,37.0,56.0,16.0,23,120.0,77.0,272.0,531.0,37.0,12.0,26.0,191
2022-01-14 00:00:00,148.0,176.0,55.0,251.0,47.0,228.0,1254.0,2560.0,297.0,196.0,139.0,420.0,754.0,971.0,3845.0,493.0,626.0,76.0,369.0,128.0,39.0,43.0,250.0,63.0,45.0,73.0,35.0,17,148.0,96.0,330.0,598.0,28.0,20.0,28.0,174
2022-01-15 00:00:00,120.0,128.0,74.0,191.0,53.0,164.0,860.0,2531.0,211.0,130.0,100.0,351.0,786.0,789.0,3364.0,515.0,600.0,98.0,200.0,84.0,35.0,50.0,254.0,49.0,28.0,51.0,8.0,33,132.0,95.0,228.0,478.0,29.0,16.0,35.0,105
2022-01-16 00:00:00,121.0,134.0,51.0,154.0,23.0,116.0,679.0,1933.0,232.0,118.0,151.0,337.0,759.0,607.0,2798.0,381.0,531.0,75.0,188.0,62.0,37.0,50.0,246.0,46.0,22.0,48.0,12.0,34,150.0,70.0,135.0,289.0,20.0,18.0,12.0,102
2022-01-17 00:00:00,118.0,113.0,61.0,269.0,34.0,181.0,918.0,1610.0,206.0,141.0,128.0,381.0,759.0,730.0,3983.0,311.0,382.0,46.0,263.0,85.0,16.0,29.0,319.0,74.0,49.0,46.0,16.0,43,138.0,96.0,303.0,575.0,7.0,6.0,28.0,192
2022-01-18 00:00:00,126.0,130.0,84.0,228.0,43.0,173.0,940.0,2389.0,235.0,141.0,112.0,357.0,761.0,656.0,4062.0,278.0,389.0,24.0,230.0,117.0,25.0,50.0,260.0,69.0,46.0,87.0,12.0,45,132.0,65.0,321.0,628.0,22.0,11.0,26.0,199
2022-01-19 00:00:00,134.0,154.0,54.0,266.0,43.0,205.0,1021.0,2744.0,209.0,178.0,141.0,416.0,712.0,680.0,4478.0,311.0,409.0,34.0,243.0,106.0,43.0,40.0,265.0,59.0,43.0,65.0,27.0,26,160.0,66.0,281.0,491.0,28.0,15.0,27.0,191
2022-01-20 00:00:00,160.0,158.0,56.0,267.0,36.0,198.0,945.0,2614.0,242.0,149.0,135.0,533.0,770.0,780.0,4449.0,314.0,395.0,28.0,219.0,96.0,35.0,36.0,264.0,53.0,35.0,64.0,18.0,30,100.0,85.0,317.0,581.0,23.0,18.0,34.0,195
2022-01-21 00:00:00,123.0,136.0,62.0,303.0,57.0,226.0,1051.0,2637.0,278.0,138.0,165.0,523.0,692.0,938.0,4749.0,390.0,446.0,51.0,270.0,110.0,33.0,44.0,249.0,57.0,56.0,108.0,26.0,15,142.0,65.0,300.0,557.0,31.0,28.0,30.0,215
