Date,1-58,1-85,1-322,1-468,1-477,2-10,2-32,2-42,3-026,3-175,3-240,3-324,3-338,4-1,4-10,4-43,5-1,5-19,5-65,5-232,5-257,6-30,6-74,7-35,7-253,8-34,8-106,8-243,8-260,8-268
2015-01-01 00:00:00,4.0,5.0,1.0,1.0,1.0,7.0,17.0,21.0,0.0,2.0,8.0,44.0,55.0,34.0,36.0,1.0,6.0,2.0,1.0,2.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,19.0
2015-01-02 00:00:00,244.0,280.0,30.0,81.0,48.0,372.0,978.0,1220.0,265.0,195.0,499.0,661.0,3246.0,379.0,684.0,66.0,367.0,130.0,51.0,89.0,293.0,66.0,54.0,62.0,35.0,35.0,43.0,81.0,650.0,1126.0
2015-01-03 00:00:00,276.0,319.0,38.0,93.0,57.0,426.0,1116.0,1392.0,294.0,224.0,570.0,526.0,3709.0,378.0,647.0,76.0,421.0,150.0,32.0,102.0,330.0,76.0,63.0,74.0,40.0,40.0,48.0,90.0,740.0,1287.0
2015-01-04 00:00:00,279.0,323.0,38.0,93.0,59.0,433.0,1133.0,1408.0,303.0,228.0,579.0,667.0,3757.0,390.0,713.0,76.0,426.0,151.0,56.0,103.0,335.0,81.0,65.0,76.0,41.0,40.0,49.0,91.0,750.0,1304.0
2015-01-05 00:00:00,303.0,353.0,43.0,97.0,61.0,468.0,1228.0,1532.0,296.0,247.0,628.0,410.0,4070.0,296.0,513.0,82.0,459.0,165.0,50.0,114.0,361.0,57.0,69.0,78.0,43.0,46.0,52.0,101.0,815.0,1410.0
2015-01-06 00:00:00,279.0,323.0,38.0,93.0,59.0,433.0,1133.0,1408.0,261.0,228.0,579.0,280.0,3757.0,277.0,489.0,76.0,426.0,151.0,47.0,103.0,335.0,103.0,65.0,76.0,41.0,40.0,49.0,91.0,750.0,1304.0
2015-01-07 00:00:00,271.0,315.0,38.0,93.0,57.0,421.0,1104.0,1371.0,257.0,216.0,563.0,436.0,3660.0,343.0,532.0,76.0,415.0,147.0,53.0,102.0,326.0,72.0,63.0,73.0,40.0,39.0,48.0,89.0,730.0,1270.0
2015-01-08 00:00:00,256.0,301.0,35.0,84.0,55.0,400.0,1040.0,1296.0,278.0,203.0,533.0,519.0,3460.0,307.0,616.0,71.0,390.0,138.0,24.0,96.0,309.0,21.0,61.0,67.0,38.0,37.0,46.0,83.0,691.0,1198.0
2015-01-09 00:00:00,244.0,280.0,30.0,81.0,48.0,372.0,981.0,1224.0,370.0,195.0,500.0,491.0,3256.0,377.0,599.0,66.0,367.0,130.0,32.0,89.0,293.0,42.0,54.0,62.0,35.0,35.0,43.0,81.0,653.0,1130.0
2015-01-10 00:00:00,276.0,319.0,38.0,93.0,57.0,426.0,1116.0,1392.0,245.0,224.0,570.0,323.0,3709.0,431.0,567.0,76.0,421.0,150.0,36.0,102.0,330.0,66.0,63.0,74.0,40.0,40.0,48.0,90.0,740.0,1287.0
2015-01-11 00:00:00,279.0,323.0,38.0,93.0,59.0,433.0,1133.0,1408.0,299.0,228.0,579.0,479.0,3757.0,396.0,546.0,76.0,426.0,151.0,35.0,103.0,335.0,34.0,65.0,76.0,41.0,40.0,49.0,91.0,750.0,1304.0
2015-01-12 00:00:00,303.0,353.0,43.0,97.0,61.0,468.0,1228.0,1532.0,270.0,247.0,628.0,397.0,4070.0,337.0,459.0,82.0,459.0,165.0,20.0,114.0,361.0,25.0,69.0,78.0,43.0,46.0,52.0,101.0,815.0,1410.0
2015-01-13 00:00:00,279.0,323.0,38.0,93.0,59.0,433.0,1133.0,1408.0,315.0,228.0,579.0,309.0,3757.0,315.0,596.0,76.0,426.0,151.0,21.0,103.0,335.0,43.0,65.0,76.0,41.0,40.0,49.0,91.0,750.0,1304.0
2015-01-14 00:00:00,271.0,315.0,38.0,93.0,57.0,421.0,1104.0,1371.0,287.0,216.0,563.0,534.0,3660.0,328.0,644.0,76.0,415.0,147.0,17.0,102.0,326.0,46.0,63.0,73.0,40.0,39.0,48.0,89.0,730.0,1270.0
2015-01-15 00:00:00,256.0,301.0,35.0,84.0,55.0,400.0,1040.0,1296.0,331.0,203.0,533.0,673.0,3460.0,316.0,533.0,71.0,390.0,138.0,20.0,96.0,309.0,18.0,61.0,67.0,38.0,37.0,46.0,83.0,691.0,1198.0
2015-01-16 00:00:00,244.0,280.0,30.0,81.0,48.0,372.0,981.0,1224.0,357.0,195.0,500.0,543.0,3256.0,386.0,489.0,66.0,367.0,130.0,42.0,89.0,293.0,44.0,54.0,62.0,35.0,35.0,43.0,81.0,653.0,1130.0
2015-01-17 00:00:00,276.0,319.0,38.0,93.0,57.0,426.0,1116.0,1392.0,305.0,224.0,570.0,424.0,3709.0,447.0,506.0,76.0,421.0,150.0,83.0,102.0,330.0,60.0,63.0,74.0,40.0,40.0,48.0,90.0,740.0,1287.0
2015-01-18 00:00:00,279.0,323.0,38.0,93.0,59.0,433.0,1133.0,1408.0,274.0,228.0,579.0,502.0,3757.0,469.0,542.0,76.0,426.0,151.0,55.0,103.0,335.0,36.0,65.0,76.0,41.0,40.0,49.0,91.0,750.0,1304.0
2015-01-19 00:00:00,303.0,353.0,43.0,97.0,61.0,468.0,1228.0,1532.0,300.0,247.0,628.0,530.0,4070.0,338.0,561.0,82.0,459.0,165.0,53.0,114.0,361.0,28.0,69.0,78.0,43.0,46.0,52.0,101.0,815.0,1410.0
2015-01-20 00:00:00,279.0,323.0,38.0,93.0,59.0,433.0,1133.0,1408.0,309.0,228.0,579.0,522.0,3757.0,341.0,545.0,76.0,426.0,151.0,32.0,103.0,335.0,39.0,65.0,76.0,41.0,40.0,49.0,91.0,750.0,1304.0
2015-01-21 00:00:00,271.0,315.0,38.0,93.0,57.0,421.0,1104.0,1371.0,351.0,216.0,563.0,570.0,3660.0,329.0,589.0,76.0,415.0,147.0,37.0,102.0,326.0,61.0,63.0,73.0,40.0,39.0,48.0,89.0,730.0,1270.0
2015-01-22 00:00:00,256.0,301.0,35.0,84.0,55.0,400.0,1040.0,1296.0,364.0,203.0,533.0,548.0,3460.0,372.0,647.0,71.0,390.0,138.0,37.0,96.0,309.0,46.0,61.0,67.0,38.0,37.0,46.0,83.0,691.0,1198.0
2015-01-23 00:00:00,244.0,280.0,30.0,81.0,48.0,372.0,981.0,1224.0,337.0,195.0,500.0,539.0,3256.0,396.0,702.0,66.0,367.0,130.0,37.0,89.0,293.0,46.0,54.0,62.0,35.0,35.0,43.0,81.0,653.0,1130.0
